lat_appx_lots_of_err,long_appx_lots_of_err,EXT,EST,AGR,CSN,OPN
44.231,-76.4791,0.7,1.4,1.2,0.7,1.4
43.6425,-79.3872,-0.5,2.2,1.7,2.1,0.9
44.9,-76.0167,0.6,2.3,1.1,0.2,0.8
49.8826,-97.1623,-0.1,2.7,1.6,0.1,1.3
43.6425,-79.3872,0.6,2.7,1.9,2.0,-0.1
51.0227,-114.1342,0.2,3.8,0.5,1.2,1.2
51.0227,-114.1342,0.7,0.9,-0.1,1.6,1.0
45.3928,-71.9441,1.2,1.7,1.4,1.2,1.9
43.6425,-79.3872,0.6,1.6,1.9,1.1,1.7
44.2507,-76.5828,0.6,2.0,1.2,2.5,0.2
43.6667,-79.4167,0.1,2.7,1.7,1.2,2.1
43.6667,-79.4167,0.0,1.7,2.2,2.0,1.6
43.5036,-80.5413,0.4,0.0,1.9,0.4,1.6
43.4529,-80.5281,0.2,1.4,1.1,0.3,1.5
44.7803,-63.6916,-0.7,3.4,1.3,0.8,0.9
44.5,-80.2167,0.8,2.0,1.8,1.1,1.5
43.6667,-79.4167,-0.3,2.2,1.3,1.5,1.5
43.8927,-79.2641,0.2,2.4,2.6,0.6,1.7
49.2765,-123.2177,0.3,2.6,1.5,0.6,1.8
49.9378,-97.1183,0.0,2.8,1.1,0.8,2.0
43.4529,-80.5281,-0.8,1.0,1.5,0.8,1.0
45.5019,-73.5853,0.7,0.3,1.9,1.2,1.3
46.5076,-80.9872,-1.1,1.7,1.9,1.7,1.5
49.5031,-119.5905,1.9,1.6,0.9,0.9,2.0
45.5078,-73.5804,1.1,2.4,1.7,-0.2,1.6
45.4167,-75.7,-0.6,2.8,1.8,-0.8,0.9
45.3155,-75.837,-1.3,3.2,1.6,-0.6,1.6
43.8449,-79.0996,1.3,1.7,0.6,1.2,2.1
49.0798,-123.0882,-0.3,2.7,0.0,1.4,1.4
49.853,-97.0998,-0.1,1.9,0.9,0.6,1.6
43.6536,-79.4258,0.8,2.1,1.3,0.4,1.4
44.65,-63.6,1.0,0.1,1.0,1.2,1.6
45.5148,-73.5739,-1.0,0.6,1.7,-0.7,1.6
43.6425,-79.3872,-1.8,3.0,0.9,0.8,1.7
43.6425,-79.3872,-0.7,2.9,1.5,-0.3,1.2
43.6667,-79.4167,1.5,2.8,2.0,1.6,1.8
43.55,-80.25,0.1,2.2,1.5,1.9,2.1
42.9943,-81.2623,-1.3,0.9,0.5,0.8,2.0
49.8431,-99.9452,0.3,2.1,1.7,1.0,1.5
43.6667,-79.4167,-0.1,2.6,0.8,0.1,1.5
45.9535,-66.6704,0.2,0.9,0.3,-0.2,2.2
45.5593,-73.6719,-0.4,0.7,-1.2,0.8,1.7
43.5974,-79.6402,-0.3,2.6,1.3,0.6,0.5
43.55,-80.25,0.1,1.6,1.6,1.9,1.6
43.75,-79.2,0.0,1.0,1.5,2.1,1.3
43.8973,-78.8641,0.5,1.1,2.1,1.5,1.2
43.8973,-78.8641,1.4,0.4,2.4,1.8,1.4
43.8973,-78.8641,1.3,1.1,1.9,1.7,1.9
43.8973,-78.8641,1.3,-0.1,1.5,1.2,1.3
44.9874,-64.835,1.1,2.1,1.2,0.6,1.3
45.6167,-61.9667,0.6,2.0,2.2,1.8,1.8
43.5325,-80.2531,1.5,1.4,0.7,0.2,1.7
43.5325,-80.2531,0.9,3.1,1.3,1.1,0.5
43.6667,-79.4167,0.5,1.3,1.6,0.8,1.3
53.519,-113.3216,0.0,1.7,1.3,0.9,1.4
43.6667,-79.4167,-0.5,2.4,1.2,1.5,0.8
43.6425,-79.3872,-0.2,2.8,1.7,2.1,1.6
43.6425,-79.3872,-0.1,2.6,2.0,1.6,1.9
51.0591,-114.1146,0.5,3.7,2.1,0.0,0.5
51.0591,-114.1146,0.7,2.9,1.6,1.1,1.9
44.2274,-76.5134,0.8,0.4,1.8,1.5,1.0
43.6425,-79.3872,-0.7,1.6,1.2,2.4,2.1
45.4167,-75.7,-0.3,2.5,0.4,1.9,1.2
43.5136,-79.884,-0.7,1.6,2.0,-0.3,0.8
43.7882,-79.1911,-1.4,2.6,1.8,0.9,1.1
52.2451,-113.7855,0.2,0.3,1.5,1.2,1.5
45.4167,-75.7,-0.4,2.3,0.1,2.1,1.3
43.6425,-79.3872,0.0,1.7,1.4,1.6,1.0
49.1667,-122.9667,-1.3,0.7,-0.2,1.4,1.1
43.6425,-79.3872,0.2,1.7,1.5,1.1,1.7
43.6425,-79.3872,-0.7,1.4,1.5,1.1,1.4
48.65,-123.4167,-1.5,2.4,0.5,2.5,1.7
53.55,-113.5,1.3,1.3,2.5,-0.2,1.1
