,EXT,EST,AGR,CSN,OPN,Clusters,lat,long
246,-0.5,2.3,2.0,0.0,1.7,2,43.8566,-79.5111
247,-0.5,1.8,1.6,0.6,1.5,0,43.6097,-79.704
248,-0.4,0.6,1.9,2.3,2.2,5,44.2322,-76.4799
249,-0.6,1.0,2.0,1.8,1.8,0,43.6667,-79.4167
250,0.7,1.3,1.6,1.7,0.5,5,49.1307,-122.5369
251,0.3,3.0,1.8,0.3,1.5,4,43.1719,-79.227
252,-0.4,1.4,1.3,1.6,1.6,0,44.0414,-79.4534
253,-0.3,0.2,1.9,2.0,2.0,5,45.5,-73.5833
254,0.2,1.4,2.1,2.1,1.3,5,44.7167,-79.8167
255,0.1,0.5,1.7,1.6,1.2,5,43.4422,-80.4968
256,-0.9,2.4,1.4,0.1,1.9,2,45.3125,-75.8838
257,0.6,1.3,1.9,2.0,1.7,5,49.7118,-112.8196
258,-0.2,2.2,2.4,2.4,0.7,0,44.5,-80.2167
259,-0.1,1.5,1.5,0.5,1.4,1,45.3176,-75.895
260,0.2,1.6,1.3,1.1,1.4,1,43.4236,-80.48
261,1.0,2.1,1.7,1.0,1.1,4,43.6425,-79.3872
262,-0.4,0.9,0.7,0.8,0.8,3,43.6425,-79.3872
263,-0.6,2.2,2.3,1.6,2.1,0,43.4487,-80.4849
264,-0.6,2.5,0.6,1.3,1.3,2,43.75,-79.2
265,0.1,3.5,2.3,0.4,1.7,4,53.5182,-113.4769
266,-0.5,0.5,1.1,1.9,0.8,3,43.4453,-79.7095
267,0.0,1.5,1.2,0.1,1.5,1,43.2298,-79.7722
268,0.3,2.4,1.7,0.9,1.1,4,43.4487,-80.4849
269,0.0,1.5,0.5,1.2,0.4,3,42.3016,-83.0307
270,0.7,1.3,2.2,1.3,2.0,5,43.4487,-80.4849
271,-0.8,1.4,2.1,1.5,1.4,0,43.4487,-80.4849
272,0.0,1.9,0.9,0.7,1.2,1,45.6303,-73.7802
273,-0.3,1.0,1.3,1.8,0.7,0,43.7023,-79.7909
274,0.4,1.6,2.6,1.2,1.2,5,45.4333,-73.8333
275,0.3,0.5,1.7,2.4,2.2,5,43.448,-80.4589
276,0.4,2.7,1.3,0.7,1.4,4,43.5136,-79.884
277,0.5,2.3,1.1,0.7,1.5,4,44.6829,-63.5442
278,-1.6,2.5,2.1,1.7,1.7,0,50.4423,-104.6116
279,1.2,2.1,1.4,2.2,2.0,5,43.7074,-79.7853
280,-0.6,2.2,1.2,0.0,1.3,2,53.9103,-122.7835
281,-1.1,1.2,1.0,1.1,1.5,3,49.2733,-122.7965
